Eastern Cape;Amahlathi Local Municipality;EC124
Eastern Cape;Blue Crane Route Local Municipality;EC102
Eastern Cape;Buffalo City Metropolitan Municipality;BUF
Eastern Cape;Dr AB Xuma Local Municipality;EC137
Eastern Cape;Dr Beyers Naudé Local Municipality;EC101
Eastern Cape;Elundini Local Municipality;EC141
Eastern Cape;Emalahleni Local Municipality;EC136
Eastern Cape;Enoch Mgijima Local Municipality;EC139
Eastern Cape;Great Kei Local Municipality;EC123
Eastern Cape;Ingquza Hill Local Municipality;EC153
Eastern Cape;Intsika Yethu Local Municipality;EC135
Eastern Cape;Inxuba Yethemba Local Municipality;EC131
Eastern Cape;King Sabata Dalindyebo Local Municipality;EC157
Eastern Cape;Kou-Kamma Local Municipality;EC109
Eastern Cape;Kouga Local Municipality;EC108
Eastern Cape;Makana Local Municipality;EC104
Eastern Cape;Matatiele Local Municipality;EC441
Eastern Cape;Mbhashe Local Municipality;EC121
Eastern Cape;Mhlontlo Local Municipality;EC156
Eastern Cape;Mnquma Local Municipality;EC122
Eastern Cape;Ndlambe Local Municipality;EC105
Eastern Cape;Nelson Mandela Bay Metropolitan Municipality;NMA
Eastern Cape;Ngqushwa Local Municipality;EC126
Eastern Cape;Ntabankulu Local Municipality;EC444
Eastern Cape;Nyandeni Local Municipality;EC155
Eastern Cape;Port St Johns Local Municipality;EC154
Eastern Cape;Raymond Mhlaba Local Municipality;EC129
Eastern Cape;Sakhisizwe Local Municipality;EC138
Eastern Cape;Senqu Local Municipality;EC142
Eastern Cape;Sundays River Valley Local Municipality;EC106
Eastern Cape;Umzimvubu Local Municipality;EC442
Eastern Cape;Walter Sisulu Local Municipality;EC145
Eastern Cape;Winnie Madikizela-Mandela Local Municipality;EC443
Free State;Dihlabeng Local Municipality;FS192
Free State;Kopanong Local Municipality;FS162
Free State;Letsemeng Local Municipality;FS161
Free State;Mafube Local Municipality;FS205
Free State;Maluti-a-Phofung Local Municipality;FS194
Free State;Mangaung Metropolitan Municipality;MAN
Free State;Mantsopa Local Municipality;FS196
Free State;Masilonyana Local Municipality;FS181
Free State;Matjhabeng Local Municipality;FS184
Free State;Metsimaholo Local Municipality;FS204
Free State;Mohokare Local Municipality;FS163
Free State;Moqhaka Local Municipality;FS201
Free State;Nala Local Municipality;FS185
Free State;Ngwathe Local Municipality;FS203
Free State;Nketoana Local Municipality;FS193
Free State;Phumelela Local Municipality;FS195
Free State;Setsoto Local Municipality;FS191
Free State;Tokologo Local Municipality;FS182
Free State;Tswelopele Local Municipality;FS183
Gauteng;City of Ekurhuleni Metropolitan Municipality;EKU
Gauteng;City of Johannesburg Metropolitan Municipality;JHB
Gauteng;City of Tshwane Metropolitan Municipality;TSH
Gauteng;Emfuleni Local Municipality;GT421
Gauteng;Lesedi Local Municipality;GT423
Gauteng;Merafong City Local Municipality;GT484
Gauteng;Midvaal Local Municipality;GT422
Gauteng;Mogale City Local Municipality;GT481
Gauteng;Rand West City Local Municipality;GT485
KwaZulu-Natal;Abaqulusi Local Municipality;KZN263
KwaZulu-Natal;Alfred Duma Local Municipality;KZN238
KwaZulu-Natal;Big Five Hlabisa Local Municipality;KZN276
KwaZulu-Natal;Dannhauser Local Municipality;KZN254
KwaZulu-Natal;Dr Nkosazana Dlamini Zuma Local Municipality;KZN436
KwaZulu-Natal;eDumbe Local Municipality;KZN261
KwaZulu-Natal;eMadlangeni Local Municipality;KZN253
KwaZulu-Natal;Endumeni Local Municipality;KZN241
KwaZulu-Natal;eThekwini Metropolitan Municipality;ETH
KwaZulu-Natal;Greater Kokstad Local Municipality;KZN433
KwaZulu-Natal;Impendle Local Municipality;KZN224
KwaZulu-Natal;Inkosi Langalibalele Local Municipality;KZN237
KwaZulu-Natal;Jozini Local Municipality;KZN272
KwaZulu-Natal;KwaDukuza Local Municipality;KZN292
KwaZulu-Natal;Mandeni Local Municipality;KZN291
KwaZulu-Natal;Maphumulo Local Municipality;KZN294
KwaZulu-Natal;Mkhambathini Local Municipality;KZN226
